用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段
,就爱捕鱼70版本,【优化】S5赛季补给资源添加,,赛季礼包,无,"1. 标题：无限放送 s5赛季金币礼包
2. 购买礼包
","2. 购买礼包可获取金币+赛季经验 满足赛季经验&购买礼包次数条件可以领取葫芦
",,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】S5赛季补给资源添加,,赛季排行,无,"1. 展示信息
2. 季度结束依照赛季排名发放奖励
","1. 依照赛季等级从高到低排序 排名 玩家信息 赛季等级 排名奖励
",,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】S5赛季补给资源添加,,赛季商店,无,"1. 使用赛季兑换币兑换奖品
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】S5赛季补给资源添加,,数数打点,无,,,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】全屏界面状态下破产强弹延时,,正常渔场内触发破产,无,"1. 正常展示强弹
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】全屏界面状态下破产强弹延时,,打开炮台页面后触发破产,无,"1. 炮台页无展示
2. 关闭炮台页展示破产流程
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】使用瞄准/狂暴期间破产，立刻停止瞄准/狂暴,,正常使用瞄准&狂暴,无,"1. 可以正常使用
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】使用瞄准/狂暴期间破产，立刻停止瞄准/狂暴,,使用瞄准期间破产,无,"1. 停止自动瞄准，炮台停止开火
2. 底部道具卡冷却重制，再次点击无反应
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】使用瞄准/狂暴期间破产，立刻停止瞄准/狂暴,,使用狂暴期间破产,无,"1. 停止自动狂暴，炮台停止开火
2. 底部道具卡冷却重制，再次点击无反应
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】功能解锁美术资源优化,,新增功能解锁飞入效果,无,,,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】功能解锁美术资源优化,,涉及解锁功能,无,"1. 最强王者
2. 成就
3. 宝青坊
4. 锻造
5. 新手宝典
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】活动的规则说明单独拉取,,活动规则可以正常拉取,无,,,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】活动的规则说明单独拉取,,涉及活动规则,无,"1. 月卡
2. 新手七日福利
3. 开运礼金
4. 天选福利
5. 惊喜扭蛋
6. 排位赛活动
7. 赛季补给
8. 周活动-兑换
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】bingo飞行曲线优化,,涉及场景,无,"1. 所有带bingo的鱼类展示，鱼id大于4000
2. 第三人称测试
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】哪吒调整氛围特效，补充演绎背景,,哪吒演绎无明显异常，背景正常展示，换房背景不带入下一个房间,无,,,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【BUG】渔场打开全屏界面时，首领来袭的层级显示问题,,打开炮台页面，召唤boss不展示来袭,无,,,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【BUG】渔场打开全屏界面时，首领来袭的层级显示问题,,涉及boss,无,"1. 招财醒狮
2. 摇滚天王
3. 耀紫神龙
4. 小龙女
5. 赵云
6. 圣诞老人
7. 魔神吕布
8. 机甲悟空
9. 武圣关羽
10. 混世魔王
11. 耀金神龙
12. 雷震子
13. 哪吒
14. 纯阳剑仙
15. 猪八戒
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】战神献礼重构,,涉及展示,无,"1. 纯阳剑仙
2. 雷震子
3. 武圣关羽
4. 混世魔王
5. 魔神吕布
6. 齐天大圣
7. 枪神赵云
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】第三人称英雄普通攻击动作连起来,,涉及展示,无,"1. 纯阳剑仙
2. 雷震子
3. 武圣关羽
4. 混世魔王
5. 魔神吕布
6. 齐天大圣
7. 枪神赵云
8. 机器人+真人
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】瞄准逻辑优化,,由分值优先级排序切换为生命值优先级排序,无,,,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】瞄准逻辑优化,,部分鱼行走路线切换到地图外，回来时依旧可以锁定,无,,,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【功能】每日金币,,金币签到,无,"1. 标题：金币签到
2. 前6天为金币+一种道具组成，最后一天由金币+两种道具组成；
3. 领取状态
4. 左下角显示金币签到加成，点击查看特权详情弹出通用的特权详情弹窗；
5. 无可领取的奖励调用领奖接口
6. 强弹
","3. 已领取状态，展示灰遮罩和标签 可领取状态：可领取状态：底板高亮，底部有可领取文本，点击后领取奖励并弹出恭喜获得； 未领取状态：普通状态，仅做展示；
5. 返回失败
",,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】摄像机&层级逻辑优化,,总体逻辑：全屏ui界面-->全屏玩法-->半屏ui界面-->半屏玩法-->所有来袭（2d&3d来袭）,无,"1. 全屏ui界面仅看一个，半屏ui仅看一个
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】摄像机&层级逻辑优化,,具体用例,无,"1. 打开炮台页面，触发所有全屏玩法鱼
2. 打开自动挂机页面，触发所有全屏玩法鱼
3. 打开自动挂机页面，触发所有半屏玩法鱼
4. 触发魔法南瓜演绎，构造所有来袭
5. 触发圣诞老人，构造部分2d&3d来袭
","1. 验证分层正确，无层级问题（仅展示全屏ui，不展示全屏玩法）
2. 验证分层正确，无层级问题（仅展示全屏玩法，不展示自动挂机页面）
3. 验证分层正确，无层级问题（半屏玩法鱼在自动挂机页面下方展示）
4. 验证分层正确，无层级问题（来袭均在魔法南瓜下展示）
5. 验证分层正确，无层级问题（来袭均在圣诞老人下展示）
",,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】当玩家“金币/最大炮倍/威力”大于等于5000时，领取签到、三日幸运礼、开运礼金、天选福利时无法领取金币奖励并弹出toast提示“您的金币太多了，请前往渔场打鱼”,,玩家金币/最大炮倍/威力”大于等于5000时,无,"1. 点击领取签到
2. 三日幸运礼
3. 开运礼金
4. 天选福利
","1. 弹出toast提示“您的金币太多了，请前往渔场打鱼”
2. 弹出toast提示“您的金币太多了，请前往渔场打鱼”
3. 弹出toast提示“您的金币太多了，请前往渔场打鱼”
4. 弹出toast提示“您的金币太多了，请前往渔场打鱼”
",,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】当玩家“金币/最大炮倍/威力”大于等于5000时，领取签到、三日幸运礼、开运礼金、天选福利时无法领取金币奖励并弹出toast提示“您的金币太多了，请前往渔场打鱼”,,玩家金币/最大炮倍/威力”小于5000时,无,"1. 点击领取签到
2. 三日幸运礼
3. 开运礼金
4. 天选福利
","1. 正常领取
2. 正常领取
3. 正常领取
4. 正常领取
",,,1,功能测试,系统测试阶段
